Utterance,Intent,Category 1,Category 2,Category 3
我想问下我每买卖一次股票 手续费是多少,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想问下我每买卖一次股票 手续费是多少,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想问下我每买卖一次股票 手续费是多少,投资方案的服务费,Investment,Fees & Charges,Investment_Others
买卖股票手续费？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想查询下我现在的买卖香港股票的手续费及其他费用是怎么收取的？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
还想请问 为什么有时候买卖牛熊证收费问题,投资方案的服务费,Investment,Fees & Charges,Investment_Others
请问，港股买卖的手续费如何清算的。,投资方案的服务费,Investment,Fees & Charges,Investment_Others
请问股票，港股， 在网页上查到的手续费是0.25%，最低100港币， 请问能申请更低的手续费吗,投资方案的服务费,Investment,Fees & Charges,Investment_Others
 去年使用手机委托股票交易返还手续费什么时候到账？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
请问股票交易怎么收手续费呢？谢谢,投资方案的服务费,Investment,Fees & Charges,Investment_Others
只要有股票之类的在手上，就要付这笔费用？之前好像没有收过吧,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想问下我每买卖一次股票 手续费是多少,投资方案的服务费,Investment,Fees & Charges,Investment_Others
请问美股交易手续费在哪里可以查询到,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我的股票清空了，每个月的费用还会收么,投资方案的服务费,Investment,Fees & Charges,Investment_Others
在网上设立基金月供投资手续费多少？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想了解基金收费，基金表现等,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想问下我每买卖一次股票 手续费是多少,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我的运筹理财账户收到120hkd的低额结存费用在前几个月，于是我存了一些澳币到运筹账户的澳币账户，但这个月还是会有低额结存费用,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
请问，不包括海外费用是什么意思？,什么是海外费用,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
我看了下，如果采用股票月供的方式，手续费是为零吗？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想更改投资指示，但查不到收费,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想问下 转出港股，怎么收费呢,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我购买的股票，价是限价盘，但是买入的价格不是我定的价格，多扣了很多钱，应该如何处理？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
汇丰汇到大新，都在香港，手续费是多少,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
转给香港本地银行手续费多少啊,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
好吧 如你前面提到，美元转账到本地他行是没有手续费的对吧,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
汇丰香港转香港其他行的手续费每笔是多少呢,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
那如果我向香港本地的星展银行转账美元，也会收取手续费吗？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
还有一个问题，在香港本地转账，如何收取服务费？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
请问收款收费吗？,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
如果其他人汇款美元到我汇丰的账户，但是我汇丰只有港币账户，没有美元账户的，是怎么收费,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
现在汇往美国是怎收费的呢,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
转到其他国家的转账也没有收费吗？,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
向美国银行汇款，除了65的手续费，还有其他费用吗,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
好的。假如我现在转100美元，何时才能收到？手续费怎么算？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
您好，请问下我从汇丰转到恒生账号，怎样收取手续费,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
本港内银行互转怎么收费呢,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账费用是怎么收的？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
这样的转账会有手续费吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账的费用最少,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我想知道汇款费用等详细信息。,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
在网上汇款和去到柜台付款手续费是相同的，对吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
如果转到美元储蓄是不是要收取相关费用？会不会有汇率风险？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我在国内其他商户的刷卡 都没见你们收手续费呀,使用信用卡进行外币交易或在柜员机提取外币现金需要手续费吗,Credit Card,Credit Card Fee & Charge,Credit Card_FCY exchange rate and charge
就想问问这种卡在内地取现有没有额度，如果刷卡消费会有手续费产生吗,使用信用卡进行外币交易或在柜员机提取外币现金需要手续费吗,Credit Card,Credit Card Fee & Charge,Credit Card_FCY exchange rate and charge
我想问下打收支记录如何收费,申请结单副本的费用,Banking account,General banking account,General banking account_Fees & Charges
香港本地的星展银行汇入，也会收取手续费吗？,收取来自香港其他银行账户款项的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
我想询问一下，通过网上银行汇款美元到本港的其他银行的收费标准,通过在线转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
你好，请问从大陆银行转港币现汇到香港汇丰银行，贵行的入账手续费是多少？,收取汇入电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
您好！想问下，从中国国内银行向汇丰银行的账户汇款，汇丰银行是收取多少手续费？,收取汇入电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
我账户已经没有理财产品了，但每月还扣取120元的低额结存服务费，这要怎么取消？,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
4号扣除了380 的低额结存服务费， 怎样会没有这个费用？,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
请问，我的账户限时为明智理财，这样的话是不是最少有5000港币存款就不用收手续费了,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
请问信用卡账单中显示的，这两笔费用分别是什么？,信用卡服务费,Credit Card,Credit Card Fee & Charge,Credit Card_Other Fee
如果我的股票全部卖掉，把钱转到境内，是否账户就自动停了，也就不再扣我的费用了？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
请问，我如何查询强积金的收费啊,强积金/职业退休计划的费用,MPF & ORSO,Fees & Charges,MPF & ORSO_Others
"好的，如果我没有达到200,000元或以上，也不希望被扣除费用，是否可以选择降低账户级别呢？",什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
请问一下在账户内操作股票的手续费是多少？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
请问意思是【需要存款总值】达到200，000hkd 并且持续3个月才可以取消这个费用对吗,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
用信用卡境外消费会收取手续费吗,使用信用卡进行外币交易或在柜员机提取外币现金需要手续费吗,Credit Card,Credit Card Fee & Charge,Credit Card_FCY exchange rate and charge
我想问一下，我的账户汇美金到香港本地账户，需要手续费吗,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
请问在你行存款要收取费用吗,存入外币现钞需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
请问汇款29万到澳大利亚联邦银行，手续费是多少,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
请问往国内外银行转账，汇丰收费标准是多少,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
信用卡里的积分换成asia miles的里数要手续费吗,加入飞行优惠计划有收费吗,Credit Card,Credit Card Fee & Charge,Credit Card_Mileage Programme Fee
hk hsbc帐号到大陆hsbc帐号也是有65元费用对吗？无论是否是我自己本人的帐号？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
网上申请支票本有收费吗,申请支票簿的费用,Move Money,Cheque,Cheque_Fees & charges
我想问发港币本票的手续费,汇丰银行服务及财富管理客户费用,Banking account,General banking account,General banking account_Fees & Charges
早上好，网上申请支票本有收费吗,申请支票簿的费用,Move Money,Cheque,Cheque_Fees & charges
美元结汇成人民币需要手续费吗？,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
请问停票手续费是？,停票的费用,Move Money,Cheque,Cheque_Fees & charges
我想知道atm转账的收费,通过香港汇丰或恒生自动柜员机转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
请问换汇有收取换汇手续费用吗？,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
所以只要是转账港币，包括富邦或渣打银行，都不需收取手续费，对吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
如果汇往美国，手续费也是65港币吗？,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
现在我想问的是：收取的费用出了港币20元，是不是还有其他的费用？还有，我的卡里只有存的是美元，在欧洲的ATM上能取美元吗？,在海外使用汇丰自动柜员机卡提取现金，有手续费吗,Banking account,General banking account,General banking account_Fees & Charges
那信用卡取款怎么收费？,通过香港自动柜员机提取港元现金需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
转美元到香港工商银行怎么收费？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
那如果入款美元，汇丰收费吗？,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
你好，我想询问下摩根环球高收益债券的情况，好像记得是这个名称。当前价格、购买的手续费，最近的收益率等等,投资方案的服务费,Investment,Fees & Charges,Investment_Others
我想了解下账户少于多少资产以下要收费用,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
请问美元转账的手续费是多少呢？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
现在再重新做一次汇款是吧？一般几天能到美国，手续费多少,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
意思是说我的卡片里面必须存够多少钱？否则有手续费,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
取rmb时是按实时汇率结算扣美元，然后再每次20hkd手续费？,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
我从香港汇丰转美元到香港工银，要手续费吗？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
您好 我想问一下 境外汇款的手续费是怎么算的,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
另外大陆到香港账户有手续费吗？,收取汇入电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
明白了，再确认一下，就是在香港境内，向其他银行账户包括证券账户转账美元或港币都没有任何费用？除了收款行的费用外,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
你好，请问转账到恒生要收费吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
海外用银行卡消费收手续费么,汇丰银行服务及财富管理客户费用,Banking account,General banking account,General banking account_Fees & Charges
你好，收汇款有费用吗,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
"hi,收汇款有费用吗",收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
请问你们的申请支票簿要费用吗,申请支票簿的费用,Move Money,Cheque,Cheque_Fees & charges
我的支票今天因户口结余不足退了，会收费吗,港元或美元支票被退票的手续费,Move Money,Cheque,Cheque_Fees & charges
您好，请问我周一汇了一笔款1100美金到美国，收了我65港币的手续费？,通过个人网上理财进行电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
好的，谢谢。请问环球账户是说我在两个账户，比如香港和澳洲两账户之间转账，若是卓越账户就不收手续费，运筹就收等值7美元，对吗？,环球转账服务的手续费,Move Money,Global View & Global Transfer,Global View & Global Transfer_Fees & Charges
我还想知道，如果是转到渣打的第三者户口，会有手续费吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
所以saving account如果取款的话会有对应手续费吗？ current accout就可以直接取款，是这个意思吗？,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
另，请问，每月扣收的25元托管费用是什么？,我被收取了CUSTODIAN FEE SEC，这是什么费用,Investment,General Investment,General Investment_Custody Fee
假设某个月最低额度未达标，是不是香港的账户也都要收服务费呢？,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
每笔转账的手续费率是多少？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
在香港柜台取美金的话，是不是有一天3000内免费的说法，取超过3000要有收费。柜员机呢？,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
好的，那从汇丰香港账户汇出到香港本地银行，美元和港币分别如何收费？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
信用卡  有没有年费？每次刷卡有没有费用？,汇丰信用卡有年费吗,Credit Card,Credit Card Fee & Charge,Credit Card_Annual Fee
就是汇款进来，银行也是收费是吗？,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
或者你给我个贷款的直播电话,联系私人贷款及楼宇按揭客服,Contact Us,Loan & Mortgage,Loan & Mortgage_hotline
请问汇丰到当地的话手续费如何计？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
另外，如果我从中银香港转英镑到我汇丰的英镑账户，汇丰怎么收费呢？,收取来自香港其他银行账户款项的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
好的。谢谢。最后请教下，如果我汇款到英国汇丰，汇美元或者英镑的手续费是相同的吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
想问一下，之前那些每月120港币的账户费用，是否需要我去柜面扣？,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
请问我如何查找我买卖股票的手续费？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
hsbc香港卡在内地取现手续费如何收取,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
我想把美元储蓄里的1万美金转去境外，如何操作？是电汇吗？手续费多少钱,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
如果直接从港币户口提款，是否有手续费呢？,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
若开设此帐户，即使以后有其中三个月内的平均余额不足10000元的话，也不会收取任何费用？,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
而且hsbc premier之间转钱不是不用付手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
另外，从香港转账到中国，需要手续费吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
想问支票退票有手续费吗,港元或美元支票被退票的手续费,Move Money,Cheque,Cheque_Fees & charges
跨行转帐有手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
这两个账号之间转账美元的话，是否有手续费？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
在大陆和伦敦的ATM机上取款的手续费各是多少？,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
另外请告每笔转帐费用是多少呀,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
是不是一定要本币转本币，才不会有手续费产生，但是美金转港币就有手续费？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
即时换外币怎么收手续费,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
即时转账收手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
如果即时转入本港其他银行，怎么收费？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
海外银行收费指的是跨境费用，还是收款行收的手续费？,什么是海外费用,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
2）取款的手续费是多少，每次取的金额上限是多少,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
你好，我想问一下，从汇丰香港卡美元账户转账到招行内地卡，手续费怎么收？,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
现在澳门需要提现港元或美元，请问怎么收费,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
你好，我想知道你们汇款的手续费是多少？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账费用,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
收款费用？,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
你好，我想问一下你们兑换美元要收费吗？,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
global tranfer收费吗？,环球转账服务的手续费,Move Money,Global View & Global Transfer,Global View & Global Transfer_Fees & Charges
我想问下网上银行转美元到香港中国银行的收费,通过在线转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
我想问一下你们汇款的手续费,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
那请问如果都是香港汇丰银行之间的账户转账，是不用手续费的吧？,转账至香港汇丰账户需要手续费吗,Move Money,In-house Transfer,In-house Transfer_Fees & Charges
请问要从香港汇进马来西亚户口，你们是怎样收费的呢？,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
因为汇款的人告诉我要从我收到的款项扣1巴仙的手续费？也就是54万，这问有这样回事的吗？,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我想问下从内地工商银行汇到我的汇丰账户汇丰这边有没有费用,收取汇入电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
这个是港外银行汇到汇丰的费用是哇,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
请问一下我今天转去渣打银行的美金会收手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
兑换欧元，除了当日的外汇牌价之外，我需要支付什么额外的费用么？,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
请问汇款给他人香港账户和海外他行账户，手续费是多少？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
你好， 我想从我香港的港币账户汇港币到大陆我自己的银行账户 请问这个需要手续费么？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
如果受款人也是汇丰账号，那么汇美元的话，有手续费吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我刚刚提交了美金境外转账申请，请问我的账户收取本地费用吗？,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
我想问问。跨行转账有手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
请问 汇丰银行之间的往来 收取手续费吗 就是我和A都是汇丰银行的 我给A转账 美元转账,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
好的，请问如果升级到卓越理财，在北京的汇丰atm上取款是免手续费吗？,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
我上午通过大陆的工商银行往这个汇丰转入15000美元，现在看一下少了15美元，是被汇丰扣了手续费？,收取汇入电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
另外，本行内的外币互转，怎么收取手续费的，比如美金转港币,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
比如 转给我太太5万美元，如何收取手续费？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
你好！请问经由一个汇丰香港帐户， 汇美元，至另一个汇丰香港帐户，是否收费？,转账至香港汇丰账户需要手续费吗,Move Money,In-house Transfer,In-house Transfer_Fees & Charges
在你们香港汇丰柜台存款到汇丰其他人的银行账户，需要手续费吗？,存入外币现钞需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
你好，请问经由一个香港汇丰个人帐户，汇美元，至另一个香港汇丰个人帐户，是否收费,转账至香港汇丰账户需要手续费吗,Move Money,In-house Transfer,In-house Transfer_Fees & Charges
谢谢！这个转账有费用吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
请问日元汇往日本，本地费用多少,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
睇到贵公司有讲8月1日会取消低额结存服务费,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
你好，我想知道在本地用信用卡提取现金，是否需要支付手续费？,通过香港自动柜员机提取港元现金需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
你好，想问一下在你们分行兑换美元的费用,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
"如果我在香港汇丰汇钱去中国内地任何一个銀行可以吗,多少收费",转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
你好，我想使用转数快转账，付款方卡是中国银行的，收款方是汇丰银行的，请问收款方会收取手续费吗？,汇丰银行服务及财富管理客户费用,Banking account,General banking account,General banking account_Fees & Charges
是你们银行这边到账是否要收费,收取款项需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
这样啊。存款多还要收费？,存入外币现钞需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
如果存USD10000现金，你们要收USD25元的费用？,存入外币现钞需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
那如果我没有存货，还需要收费吗？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
"运财帐户每个月都提示收取低额手续费,但扣费都不成功",什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
外汇买卖手续费是怎么收的,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
如从您的港元户口进行外币兑换和提款，则不会有手续费。 这是提取港币不需要额外服务费是吗,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
你好 去年使用手机委托股票交易返还手续费什么时候到账？,投资方案的服务费,Investment,Fees & Charges,Investment_Others
明白，如果把日元兑换成美元，扣手续费吗,使用银行账户兑换外币需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
意思是兑换成港元再提款就不会产生手续费？,提取港元现金的手续费,Banking account,General banking account,General banking account_Fees & Charges
你好，我想咨询一下持香港汇丰的储蓄卡在澳门atm提现的手续费是多少？,在海外使用汇丰自动柜员机卡提取现金，有手续费吗,Banking account,General banking account,General banking account_Fees & Charges
补发提款卡会收费吗？,汇丰银行服务及财富管理客户费用,Banking account,General banking account,General banking account_Fees & Charges
这个账户要月余额保持多少金额才不用手续费,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
香港汇丰银行账户里的澳元 转到 香港星展银行账户  都是本人名下的  这个怎么收费   多久能到星展账户 海外费用支付方  这个选哪个,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
请问美元转账的手续费收取标准？是收美元还是港元？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
再次确认下香港朋友直接在柜台给我账户上存现金，不用卡就可以么？要手续费么？,存入外币现钞需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
是的，十多年前的服务，每月收费380hkd呢,什么是BLW BAL FEE,Banking account,General banking account,General banking account_Monthly Service Fee
如果是汇丰银行转恒生银行，会有手续费吗,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
好的，明白，从储蓄账户转到往来账户收费吗？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
关于手续费问题，如果我转40万和转200万，你们收的手续费65港币都一样吧?,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
我从大陆转过来的港币 要扣手续费？,收取汇入电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
所以我想知道各种货币的存款收费，谢谢了,存入外币现钞需要手续费吗,Banking account,General banking account,General banking account_Fees & Charges
扣款和汇出款是一致的吗或是加了手续费,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
safe custody charge 这是一项什么费用？,我被收取了CUSTODIAN FEE SEC，这是什么费用,Investment,General Investment,General Investment_Custody Fee
香港地区的银行之间转美元收手续费吗？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
另外，用转速快 转港币，是不是免费用？,汇丰银行服务及财富管理客户费用,Banking account,General banking account,General banking account_Fees & Charges
转速快是免费的吧？,汇丰银行服务及财富管理客户费用,Banking account,General banking account,General banking account_Fees & Charges
咨询一下汇款手续费,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
海外费用是谁扣的,什么是海外费用,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
我想问下我每买卖一次股票 手续费是多少,投资方案的服务费,Investment,Fees & Charges,Investment_Others
汇丰银行互转是不是没有手续费的,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
转账是否有手续费呢？,转账需要手续费吗,Move Money,Move Money Transfer_ Others,Move Money Transfer_ Fees & Charges
入果是电汇到海外学校交学费收取的费用是多少？汇澳币电汇费是收澳币还是港币？,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
从汇丰银行转账到大陆招商银行   怎么收手续费的,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
请问往新加坡电汇的手续费怎么收取？,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
那转海外一般怎么收费呢,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
会有电汇的费用么,电汇的手续费,Move Money,Telegraphic Transfer (TT),TT_Fees & Charges
不好意思 想问一下 如果我在澳门的atm柜机取现 收费标准是怎样的呢,在海外使用汇丰自动柜员机卡提取现金，有手续费吗,Banking account,General banking account,General banking account_Fees & Charges
请问，港股买卖的手续费如何清算的。,投资方案的服务费,Investment,Fees & Charges,Investment_Others
如果 我从我的账户里汇款至香港的其他银行，需要收手续费吗？是多少？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
也就是说，从香港的汇丰转到香港的其他的银行，都是免费的？,转账至其他本港账户的手续费,Move Money,Local Interbank Transfer,Local Interbank Transfer_Fees & Charges
